"Anni","Sesso","SituazioneSentim","Figli","Lavoro","Ombrelloni","Ristorante","Palestra","CampiDaGioco","WiFi","Giornali","Parcheggio","Animazione","AttivitaDiGruppo","Docce","Canoa","Prezzi","Vicinanza","Servizi","Meteo","Affluenza"
15.21,"f","Fidanzata/o","n","Disoccupato",0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0
15.21,"f","Fidanzata/o","n","Studente/essa",0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1
15.21,"f","Fidanzata/o","n","Studente/essa",0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1
15.21,"f","Single","n","Studente/essa",1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1
15.21,"f","Single","n","Studente/essa",1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
15.21,"m","Single","n","Studente/essa",1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1
60,"m","Sposata/o","n","Pensonato/a",1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1
15.21,"f","Fidanzata/o","n","Studente/essa",0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0
15.21,"m","Single","n","Studente/essa",0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0
15.21,"f","Single","n","Studente/essa",0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
